                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.519,                 3.3527,                 1.6962,                0.45749,                0.55197,                0.48006,                0.20894,                 1.7418,                 4.5495,                 1.9856,             0.00032381,             0.00032381,             0.00032381
                      2,                 1.4614,                 1.8953,                 1.5744,                0.34326,                0.49518,                0.38894,                0.16618,                 1.9963,                 5.2259,                 2.5687,              0.0006463,              0.0006463,              0.0006463
                      3,                   1.56,                 1.8384,                 1.6465,                0.53186,                0.49792,                0.47405,                0.18145,                 2.0664,                 2.9929,                 2.6617,             0.00095779,             0.00095779,             0.00095779
                      4,                 1.5364,                  1.744,                 1.6141,                0.37603,                0.53983,                0.38454,                0.16263,                 2.0398,                 6.8247,                 2.4268,              0.0009505,              0.0009505,              0.0009505
                      5,                 1.5057,                 1.7336,                 1.5884,                0.60773,                0.45968,                 0.5466,                0.26926,                 1.8081,                 2.3612,                 2.1793,              0.0009505,              0.0009505,              0.0009505
                      6,                 1.5583,                 1.6662,                 1.6055,                0.60749,                0.49376,                0.50884,                0.21945,                 1.9164,                  2.206,                 2.1816,               0.000934,               0.000934,               0.000934
                      7,                 1.5093,                 1.5452,                 1.5728,                0.54648,                 0.5941,                0.53182,                0.24333,                 1.8678,                 1.8803,                 2.1292,              0.0009175,              0.0009175,              0.0009175
                      8,                 1.5306,                 1.5519,                  1.584,                0.48271,                0.63945,                0.60084,                0.29342,                 1.8069,                 1.8687,                 1.9944,               0.000901,               0.000901,               0.000901
                      9,                 1.4905,                 1.4847,                 1.5518,                0.58291,                0.61117,                0.59702,                0.29743,                 1.7538,                 1.8619,                 2.0396,              0.0008845,              0.0008845,              0.0008845
                     10,                 1.4843,                 1.4586,                 1.5586,                 0.6364,                0.58682,                0.60834,                0.27009,                 1.8519,                 1.8443,                 2.1597,               0.000868,               0.000868,               0.000868
                     11,                 1.4323,                 1.4624,                  1.543,                 0.7058,                0.65518,                0.71961,                0.38006,                 1.6772,                 1.4685,                 1.8593,              0.0008515,              0.0008515,              0.0008515
                     12,                 1.4254,                 1.4404,                 1.5219,                0.64652,                0.66378,                0.70122,                0.35994,                 1.6728,                  1.665,                 1.9046,               0.000835,               0.000835,               0.000835
                     13,                 1.4505,                 1.3831,                 1.5437,                 0.6931,                0.60844,                0.60619,                0.28275,                 1.8791,                 1.6389,                 2.1334,              0.0008185,              0.0008185,              0.0008185
                     14,                 1.4603,                 1.3713,                 1.5376,                0.80548,                0.72354,                0.80949,                0.42326,                  1.734,                 1.2449,                 1.9123,               0.000802,               0.000802,               0.000802
                     15,                 1.4606,                 1.3801,                 1.5314,                0.79305,                0.60672,                0.71783,                0.38348,                 1.6759,                 1.5937,                 1.9141,              0.0007855,              0.0007855,              0.0007855
                     16,                 1.4106,                 1.3386,                 1.5087,                0.76087,                0.74764,                0.80439,                0.39536,                 1.7595,                 1.2416,                 1.8872,               0.000769,               0.000769,               0.000769
                     17,                 1.3763,                 1.2615,                 1.4714,                0.69156,                0.76199,                0.79167,                0.44683,                 1.5448,                 1.1922,                  1.757,              0.0007525,              0.0007525,              0.0007525
                     18,                 1.3927,                 1.2771,                 1.4865,                0.75672,                0.79117,                0.83197,                0.44146,                 1.5993,                 1.1277,                 1.8068,               0.000736,               0.000736,               0.000736
                     19,                 1.3649,                 1.2291,                 1.4731,                0.77129,                0.76209,                0.79671,                0.44258,                 1.6337,                 1.0823,                 1.8578,              0.0007195,              0.0007195,              0.0007195
                     20,                 1.3968,                 1.2772,                  1.489,                0.78996,                0.75843,                 0.8214,                0.45347,                 1.6003,                 1.1617,                 1.7895,               0.000703,               0.000703,               0.000703
                     21,                 1.3384,                 1.1994,                 1.4564,                0.66396,                0.70858,                0.70979,                0.39307,                  1.631,                 1.4771,                 1.8444,              0.0006865,              0.0006865,              0.0006865
                     22,                 1.3242,                 1.1555,                 1.4407,                0.83401,                0.72628,                0.80679,                0.42424,                 1.6293,                   1.11,                 1.8269,                0.00067,                0.00067,                0.00067
